Date,BTC,ETH,XRP,ADA
5/19/2016,438.38,N/A,N/A,N/A
5/20/2016,445.65,N/A,N/A,N/A
5/21/2016,446.28,N/A,N/A,N/A
5/22/2016,442.48,N/A,N/A,N/A
5/23/2016,445.67,N/A,N/A,N/A
5/24/2016,446.99,N/A,N/A,N/A
5/25/2016,451.49,N/A,N/A,N/A
5/26/2016,454.97,N/A,N/A,N/A
5/27/2016,471.27,N/A,N/A,N/A
5/28/2016,523.25,N/A,N/A,N/A
5/29/2016,525.22,N/A,N/A,N/A
5/30/2016,532.55,N/A,N/A,N/A
5/31/2016,531.34,N/A,N/A,N/A
6/1/2016,534.84,N/A,N/A,N/A
6/2/2016,537.87,N/A,N/A,N/A
6/3/2016,571.25,N/A,N/A,N/A
6/4/2016,576.31,N/A,N/A,N/A
6/5/2016,575.17,N/A,N/A,N/A
6/6/2016,586.77,N/A,N/A,N/A
6/7/2016,579.71,N/A,N/A,N/A
6/8/2016,583.21,N/A,N/A,N/A
6/9/2016,577.46,N/A,N/A,N/A
6/10/2016,580.31,N/A,N/A,N/A
6/11/2016,609.5,N/A,N/A,N/A
6/12/2016,677.86,N/A,N/A,N/A
6/13/2016,706.01,N/A,N/A,N/A
6/14/2016,684.95,N/A,N/A,N/A
6/15/2016,698.78,N/A,N/A,N/A
6/16/2016,769.76,N/A,N/A,N/A
6/17/2016,752.26,N/A,N/A,N/A
6/18/2016,758.99,N/A,N/A,N/A
6/19/2016,768.76,N/A,N/A,N/A
6/20/2016,703.12,N/A,N/A,N/A
6/21/2016,667.66,N/A,N/A,N/A
6/22/2016,604.5,N/A,N/A,N/A
6/23/2016,631.1,N/A,N/A,N/A
6/24/2016,669.98,N/A,N/A,N/A
6/25/2016,673.71,N/A,N/A,N/A
6/26/2016,638.56,N/A,N/A,N/A
6/27/2016,657.87,N/A,N/A,N/A
6/28/2016,648.43,N/A,N/A,N/A
6/29/2016,639.42,N/A,N/A,N/A
6/30/2016,673.49,N/A,N/A,N/A
7/1/2016,678.19,N/A,N/A,N/A
7/2/2016,704.95,N/A,N/A,N/A
7/3/2016,663.55,N/A,N/A,N/A
7/4/2016,681.98,N/A,N/A,N/A
7/5/2016,669.87,N/A,N/A,N/A
7/6/2016,678.79,N/A,N/A,N/A
7/7/2016,641.97,N/A,N/A,N/A
7/8/2016,667.33,N/A,N/A,N/A
7/9/2016,657.61,N/A,N/A,N/A
7/10/2016,652.44,N/A,N/A,N/A
7/11/2016,650.97,N/A,N/A,N/A
7/12/2016,666.56,N/A,N/A,N/A
7/13/2016,655.34,N/A,N/A,N/A
7/14/2016,661.65,N/A,N/A,N/A
7/15/2016,667.48,N/A,N/A,N/A
7/16/2016,666.32,N/A,N/A,N/A
7/17/2016,680,N/A,N/A,N/A
7/18/2016,675.5,N/A,N/A,N/A
7/19/2016,673.98,N/A,N/A,N/A
7/20/2016,666.92,N/A,N/A,N/A
7/21/2016,667.28,N/A,N/A,N/A
7/22/2016,654.67,N/A,N/A,N/A
7/23/2016,657.5,N/A,N/A,N/A
7/24/2016,661,N/A,N/A,N/A
7/25/2016,657.79,N/A,N/A,N/A
7/26/2016,654.06,N/A,N/A,N/A
7/27/2016,657.35,N/A,N/A,N/A
7/28/2016,657.4,N/A,N/A,N/A
7/29/2016,657,N/A,N/A,N/A
7/30/2016,655.87,N/A,N/A,N/A
7/31/2016,626.97,N/A,N/A,N/A
8/1/2016,605.2,N/A,N/A,N/A
8/2/2016,537.47,N/A,N/A,N/A
8/3/2016,573.36,N/A,N/A,N/A
8/4/2016,587.5,N/A,N/A,N/A
8/5/2016,583,N/A,N/A,N/A
8/6/2016,591.71,N/A,N/A,N/A
8/7/2016,595.14,N/A,N/A,N/A
8/8/2016,591.48,N/A,N/A,N/A
8/9/2016,586.45,N/A,N/A,N/A
8/10/2016,594.94,N/A,N/A,N/A
8/11/2016,587.91,N/A,N/A,N/A
8/12/2016,587.74,N/A,N/A,N/A
8/13/2016,586.45,N/A,N/A,N/A
8/14/2016,574.99,N/A,N/A,N/A
8/15/2016,567.79,N/A,N/A,N/A
8/16/2016,579.02,N/A,N/A,N/A
8/17/2016,574.45,N/A,N/A,N/A
8/18/2016,574.09,N/A,N/A,N/A
8/19/2016,573.67,N/A,N/A,N/A
8/20/2016,581.87,N/A,N/A,N/A
8/21/2016,581.29,N/A,N/A,N/A
8/22/2016,585.2,N/A,N/A,N/A
8/23/2016,582.39,N/A,N/A,N/A
8/24/2016,578.47,N/A,N/A,N/A
8/25/2016,575.58,N/A,N/A,N/A
8/26/2016,579.29,N/A,N/A,N/A
8/27/2016,570.84,N/A,N/A,N/A
8/28/2016,575.41,N/A,N/A,N/A
8/29/2016,573.21,N/A,N/A,N/A
8/30/2016,574.95,N/A,N/A,N/A
8/31/2016,572.89,N/A,N/A,N/A
9/1/2016,573.02,N/A,N/A,N/A
9/2/2016,576.21,N/A,N/A,N/A
9/3/2016,600.91,N/A,N/A,N/A
9/4/2016,611.92,N/A,N/A,N/A
9/5/2016,605.69,N/A,N/A,N/A
9/6/2016,612.99,N/A,N/A,N/A
9/7/2016,615.21,N/A,N/A,N/A
9/8/2016,627.97,N/A,N/A,N/A
9/9/2016,622.07,N/A,N/A,N/A
9/10/2016,623.74,N/A,N/A,N/A
9/11/2016,607.94,N/A,N/A,N/A
9/12/2016,606.74,N/A,N/A,N/A
9/13/2016,608.63,N/A,N/A,N/A
9/14/2016,608.43,N/A,N/A,N/A
9/15/2016,605.44,N/A,N/A,N/A
9/16/2016,607.93,N/A,N/A,N/A
9/17/2016,607.92,N/A,N/A,N/A
9/18/2016,611.4,N/A,N/A,N/A
9/19/2016,608.6,N/A,N/A,N/A
9/20/2016,605.6,N/A,N/A,N/A
9/21/2016,597,N/A,N/A,N/A
9/22/2016,596.21,N/A,N/A,N/A
9/23/2016,602.96,N/A,N/A,N/A
9/24/2016,603.68,N/A,N/A,N/A
9/25/2016,601.67,N/A,N/A,N/A
9/26/2016,607.08,N/A,N/A,N/A
9/27/2016,605.71,N/A,N/A,N/A
9/28/2016,605.04,N/A,N/A,N/A
9/29/2016,605.99,N/A,N/A,N/A
9/30/2016,608.99,N/A,N/A,N/A
10/1/2016,615.65,N/A,N/A,N/A
10/2/2016,612.4,N/A,N/A,N/A
10/3/2016,612.99,N/A,N/A,N/A
10/4/2016,610.34,N/A,N/A,N/A
10/5/2016,613.16,N/A,N/A,N/A
10/6/2016,611.88,N/A,N/A,N/A
10/7/2016,617.98,N/A,N/A,N/A
10/8/2016,619.5,N/A,N/A,N/A
10/9/2016,617.42,N/A,N/A,N/A
10/10/2016,618.72,N/A,N/A,N/A
10/11/2016,642.12,N/A,N/A,N/A
10/12/2016,635.79,N/A,N/A,N/A
10/13/2016,635.66,N/A,N/A,N/A
10/14/2016,638.03,11.92,N/A,N/A
10/15/2016,638.16,11.95,N/A,N/A
10/16/2016,641.92,11.95,N/A,N/A
10/17/2016,639.56,11.96,N/A,N/A
10/18/2016,635.11,12.54,N/A,N/A
10/19/2016,629.79,12.01,N/A,N/A
10/20/2016,628.05,12.06,N/A,N/A
10/21/2016,630.83,12.05,N/A,N/A
10/22/2016,652.75,12.03,N/A,N/A
10/23/2016,651.04,11.94,N/A,N/A
10/24/2016,649.98,11.92,N/A,N/A
10/25/2016,654.3,11.33,N/A,N/A
10/26/2016,674,11.49,N/A,N/A
10/27/2016,691.21,11.48,N/A,N/A
10/28/2016,689.95,11.13,N/A,N/A
10/29/2016,714.28,10.47,N/A,N/A
10/30/2016,697.41,11.19,N/A,N/A
10/31/2016,696.9,10.98,N/A,N/A
11/1/2016,730.7,10.84,N/A,N/A
11/2/2016,744.6,10.83,N/A,N/A
11/3/2016,690,10.87,N/A,N/A
11/4/2016,706.32,11.15,N/A,N/A
11/5/2016,706.99,11.16,N/A,N/A
11/6/2016,717.02,11.01,N/A,N/A
11/7/2016,706.42,10.93,N/A,N/A
11/8/2016,711.15,10.84,N/A,N/A
11/9/2016,720.97,10.62,N/A,N/A
11/10/2016,712.91,10.51,N/A,N/A
11/11/2016,716.9,10.29,N/A,N/A
11/12/2016,704.53,9.95,N/A,N/A
11/13/2016,704.01,10.14,N/A,N/A
11/14/2016,708.32,10.02,N/A,N/A
11/15/2016,712.29,10.27,N/A,N/A
11/16/2016,739.85,10,N/A,N/A
11/17/2016,730.71,9.91,N/A,N/A
11/18/2016,748.54,9.51,N/A,N/A
11/19/2016,750.77,9.68,N/A,N/A
11/20/2016,731.99,9.6,N/A,N/A
11/21/2016,736.4,9.54,N/A,N/A
11/22/2016,746.66,9.87,N/A,N/A
11/23/2016,741.52,9.8,N/A,N/A
11/24/2016,737.99,9.18,N/A,N/A
11/25/2016,739.74,9.4,N/A,N/A
11/26/2016,735.7,9.33,N/A,N/A
11/27/2016,729.24,8.98,N/A,N/A
11/28/2016,729.77,8.67,N/A,N/A
11/29/2016,732.37,8.14,N/A,N/A
11/30/2016,742.69,8.61,N/A,N/A
12/1/2016,754,8.45,N/A,N/A
12/2/2016,769.25,7.73,N/A,N/A
12/3/2016,766.98,7.86,N/A,N/A
12/4/2016,767.99,7.37,N/A,N/A
12/5/2016,752,6.75,N/A,N/A
12/6/2016,759.8,7.83,N/A,N/A
12/7/2016,764.34,8.35,N/A,N/A
12/8/2016,767.89,8.2,N/A,N/A
12/9/2016,773.22,8.47,N/A,N/A
12/10/2016,775.87,8.14,N/A,N/A
12/11/2016,771.05,8.23,N/A,N/A
12/12/2016,778.94,8.5,N/A,N/A
12/13/2016,776.18,8.41,N/A,N/A
12/14/2016,777.66,8.24,N/A,N/A
12/15/2016,776.16,7.83,N/A,N/A
12/16/2016,780.98,7.84,N/A,N/A
12/17/2016,788.57,7.85,N/A,N/A
12/18/2016,790.72,7.92,N/A,N/A
12/19/2016,790.81,7.64,N/A,N/A
12/20/2016,798.99,7.64,N/A,N/A
12/21/2016,834.5,7.91,N/A,N/A
12/22/2016,856.02,7.55,N/A,N/A
12/23/2016,917.26,7.13,N/A,N/A
12/24/2016,891.5,7.22,N/A,N/A
12/25/2016,896.12,7.19,N/A,N/A
12/26/2016,902.09,7.26,N/A,N/A
12/27/2016,925.2,7.16,N/A,N/A
12/28/2016,982.17,7.62,N/A,N/A
12/29/2016,970.72,8.29,N/A,N/A
12/30/2016,960.81,8.21,N/A,N/A
12/31/2016,973.37,8.16,N/A,N/A
1/1/2017,992.95,8.18,N/A,N/A
1/2/2017,1011.45,8.38,N/A,N/A
1/3/2017,1020.67,9.59,N/A,N/A
1/4/2017,1130.3,11.17,N/A,N/A
1/5/2017,1007,10.23,N/A,N/A
1/6/2017,895.71,10.14,N/A,N/A
1/7/2017,909,9.92,N/A,N/A
1/8/2017,923.33,10.5,N/A,N/A
1/9/2017,902.66,10.39,N/A,N/A
1/10/2017,907,10.63,N/A,N/A
1/11/2017,795.77,9.95,N/A,N/A
1/12/2017,812.25,9.8,N/A,N/A
1/13/2017,831.42,9.84,N/A,N/A
1/14/2017,828,9.86,N/A,N/A
1/15/2017,833.31,9.9,N/A,N/A
1/16/2017,834.41,9.66,N/A,N/A
1/17/2017,906,10.34,N/A,N/A
1/18/2017,887.99,10.23,N/A,N/A
1/19/2017,902.92,10.42,N/A,N/A
1/20/2017,894.31,10.62,N/A,N/A
1/21/2017,925.06,10.93,N/A,N/A
1/22/2017,931.22,10.77,N/A,N/A
1/23/2017,910.7,10.8,N/A,N/A
