Date,BND,VB,VV,VWO,VXUS
5/13/2016 16:00,83.21,111.09,93.64,32.86,44.38
5/16/2016 16:00,83.03,112.33,94.54,33.24,45.03
5/17/2016 16:00,82.97,111.14,93.68,33.1,44.69
5/18/2016 16:00,82.58,111.06,93.73,32.84,44.62
5/19/2016 16:00,82.67,110.47,93.36,32.44,44.28
5/20/2016 16:00,82.67,111.95,93.98,32.8,44.64
5/23/2016 16:00,82.69,111.82,93.79,32.73,44.48
5/24/2016 16:00,82.65,113.74,95.05,33.12,45.08
5/25/2016 16:00,82.62,114.52,95.71,33.5,45.55
5/26/2016 16:00,82.76,114.39,95.71,33.72,45.66
5/27/2016 16:00,82.73,115.41,96.12,33.71,45.56
5/31/2016 16:00,82.8,115.6,96.04,33.8,45.44
6/1/2016 16:00,82.66,116.29,96.21,33.77,45.45
6/2/2016 16:00,82.82,117.07,96.51,34.04,45.54
6/3/2016 16:00,83.34,116.54,96.24,34.57,45.95
6/6/2016 16:00,83.21,117.71,96.69,34.86,46.29
6/7/2016 16:00,83.22,118.04,96.84,35.2,46.68
6/8/2016 16:00,83.32,118.73,97.2,35.49,46.85
6/9/2016 16:00,83.4,118.17,97.01,35.09,46.23
6/10/2016 16:00,83.48,116.27,96.09,34.2,44.99
6/13/2016 16:00,83.5,115.01,95.39,33.77,44.35
6/14/2016 16:00,83.49,114.29,94.77,33.45,43.29
6/15/2016 16:00,83.68,114.58,94.67,33.76,43.63
6/16/2016 16:00,83.77,114.38,94.92,33.68,43.59
6/17/2016 16:00,83.65,114.33,94.61,33.83,43.92
6/20/2016 16:00,83.46,115.7,95.23,34.32,44.93
6/21/2016 16:00,83.35,115.5,95.43,34.58,45.23
6/22/2016 16:00,83.38,115.14,95.26,34.63,45.22
6/23/2016 16:00,83.23,117.21,96.52,35.49,46.41
6/24/2016 16:00,83.69,112.77,93.06,33.48,42.82
6/27/2016 16:00,84.12,109.31,91.36,33.13,42.05
6/28/2016 16:00,84.22,111.39,92.99,34.08,43.1
6/29/2016 16:00,84.19,113.79,94.56,34.88,43.95
6/30/2016 16:00,84.3,115.68,95.85,35.23,44.48
7/1/2016 16:00,84.37,116.03,96.07,35.49,44.6
7/5/2016 16:00,84.66,114.54,95.43,34.79,43.83
7/6/2016 16:00,84.81,115.29,95.97,34.79,43.74
7/7/2016 16:00,84.67,115.46,95.88,34.64,43.56
7/8/2016 16:00,84.89,117.76,97.36,35.41,44.31
7/11/2016 16:00,84.64,118.69,97.72,35.7,44.85
7/12/2016 16:00,84.3,120.02,98.4,36.25,45.47
7/13/2016 16:00,84.45,119.67,98.39,36.19,45.46
7/14/2016 16:00,84.32,119.83,98.91,36.69,45.85
7/15/2016 16:00,84.05,119.97,98.8,36.56,45.66
7/18/2016 16:00,84.08,120.2,99.05,36.88,45.82
7/19/2016 16:00,84.21,119.77,98.94,36.56,45.4
7/20/2016 16:00,84.12,120.53,99.38,36.75,45.76
7/21/2016 16:00,84.22,120.05,99.01,36.65,45.72
7/22/2016 16:00,84.23,120.87,99.46,36.89,45.79
7/25/2016 16:00,84.18,120.59,99.2,36.59,45.64
7/26/2016 16:00,84.17,121.19,99.26,36.81,45.83
7/27/2016 16:00,84.42,120.92,99.17,36.86,46.05
7/28/2016 16:00,84.37,121.11,99.31,36.84,46.04
7/29/2016 16:00,84.64,121.47,99.47,37.04,46.49
8/1/2016 16:00,84.21,121.31,99.36,36.9,46.27
8/2/2016 16:00,84.13,119.69,98.7,36.7,46.09
8/3/2016 16:00,84.13,120.59,99.01,36.9,46.01
8/4/2016 16:00,84.28,120.7,99.13,37.08,46.26
8/5/2016 16:00,84,121.93,99.91,37.49,46.47
8/8/2016 16:00,84.01,121.92,99.85,37.73,46.64
8/9/2016 16:00,84.25,121.91,99.92,37.98,47
8/10/2016 16:00,84.36,121.28,99.67,37.89,47.09
8/11/2016 16:00,84.14,121.76,100.2,38.33,47.47
8/12/2016 16:00,84.33,121.74,100.06,38.18,47.3
8/15/2016 16:00,84.19,122.78,100.4,38.6,47.59
8/16/2016 16:00,84.15,121.66,99.86,38.4,47.42
8/17/2016 16:00,84.28,121.4,100.03,38.26,47.42
8/18/2016 16:00,84.37,122.28,100.26,38.57,47.67
8/19/2016 16:00,84.2,122.23,100.12,38.34,47.35
8/22/2016 16:00,84.32,122.36,100.13,37.86,47.29
8/23/2016 16:00,84.36,123.15,100.33,37.67,47.43
8/24/2016 16:00,84.35,122.11,99.8,37.78,47.32
8/25/2016 16:00,84.26,122.34,99.72,37.77,47.23
8/26/2016 16:00,84.05,121.99,99.54,37.47,46.89
8/29/2016 16:00,84.34,122.79,100.06,37.75,47.07
8/30/2016 16:00,84.27,122.74,99.87,37.69,46.94
8/31/2016 16:00,84.21,122.29,99.64,37.33,46.7
9/1/2016 16:00,84.16,122.29,99.65,37.53,47
9/2/2016 16:00,84.04,123.52,100.11,38.1,47.54
9/6/2016 16:00,84.29,123.69,100.42,38.76,48.03
9/7/2016 16:00,84.3,124.21,100.41,38.71,48.09
9/8/2016 16:00,83.98,123.88,100.21,38.63,48.02
9/9/2016 16:00,83.61,120.06,97.8,37.41,46.95
9/12/2016 16:00,83.64,121.59,99.19,37.72,47.34
9/13/2016 16:00,83.4,119.3,97.8,36.34,45.91
9/14/2016 16:00,83.51,119.19,97.71,36.47,45.95
9/15/2016 16:00,83.58,120.5,98.71,37.05,46.4
9/16/2016 16:00,83.65,120.04,98.31,36.8,45.91
9/19/2016 16:00,83.59,120.82,98.35,37.11,46.22
9/20/2016 16:00,83.61,119.8,97.81,37.12,46.36
9/21/2016 16:00,83.85,121.47,98.86,38.02,47.27
9/22/2016 16:00,84.02,123.08,99.55,38.19,47.74
9/23/2016 16:00,84,122.18,99,37.69,47.24
9/26/2016 16:00,84.14,121.29,98.19,37.23,46.8
9/27/2016 16:00,84.24,121.54,98.79,37.62,47.09
9/28/2016 16:00,84.24,122.6,99.33,37.99,47.5
9/29/2016 16:00,84.25,121.18,98.42,37.36,46.96
9/30/2016 16:00,84.14,122.18,99.16,37.63,47.21
10/3/2016 16:00,83.89,121.52,98.88,37.88,47.18
10/4/2016 16:00,83.61,120.81,98.42,37.5,47.01
10/5/2016 16:00,83.47,121.46,98.83,38.07,47.35
10/6/2016 16:00,83.44,121.42,98.89,38.07,47.15
10/7/2016 16:00,83.51,120.49,98.53,37.94,46.85
10/10/2016 16:00,83.42,121.65,99.05,38.2,47.06
10/11/2016 16:00,83.29,119.66,97.79,37.49,46.32
10/12/2016 16:00,83.34,119.77,97.92,37.45,46.26
10/13/2016 16:00,83.44,119.12,97.59,37.22,46.07
